"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\jibby\Project\fitness-project\.eslintrc.json", "JSON", 26, 0, 0, 1, 27
"c:\Users\jibby\Project\fitness-project\App.js", "JavaScript", 0, 23, 0, 4, 27
"c:\Users\jibby\Project\fitness-project\CalorieContext.js", "JavaScript", 0, 3, 1, 3, 7
"c:\Users\jibby\Project\fitness-project\DarkModeContext.js", "JavaScript", 0, 11, 0, 5, 16
"c:\Users\jibby\Project\fitness-project\StackNavigator.js", "JavaScript", 0, 70, 0, 7, 77
"c:\Users\jibby\Project\fitness-project\app.json", "JSON", 18, 0, 16, 0, 34
"c:\Users\jibby\Project\fitness-project\babel.config.js", "JavaScript", 0, 6, 0, 1, 7
"c:\Users\jibby\Project\fitness-project\components\CaloriesBox.js", "JavaScript", 0, 32, 1, 6, 39
"c:\Users\jibby\Project\fitness-project\components\UserExercisesBox.js", "JavaScript", 0, 25, 1, 5, 31
"c:\Users\jibby\Project\fitness-project\components\WeightHistoryList.js", "JavaScript", 0, 64, 0, 7, 71
"c:\Users\jibby\Project\fitness-project\firebase\config.js", "JavaScript", 0, 18, 0, 4, 22
"c:\Users\jibby\Project\fitness-project\package-lock.json", "JSON", 20291, 0, 0, 1, 20292
"c:\Users\jibby\Project\fitness-project\package.json", "JSON", 49, 0, 0, 1, 50
"c:\Users\jibby\Project\fitness-project\screens\LoginScreen\LoginScreen.js", "JavaScript", 0, 73, 0, 5, 78
"c:\Users\jibby\Project\fitness-project\screens\LoginScreen\styles.js", "JavaScript", 0, 56, 0, 3, 59
"c:\Users\jibby\Project\fitness-project\screens\RegistrationScreen\RegistrationScreen.js", "JavaScript", 0, 152, 0, 7, 159
"c:\Users\jibby\Project\fitness-project\screens\RegistrationScreen\styles.js", "JavaScript", 0, 56, 0, 3, 59
"c:\Users\jibby\Project\fitness-project\screens\UserProfile\CalorieTrackerScreen.js", "JavaScript", 0, 563, 4, 30, 597
"c:\Users\jibby\Project\fitness-project\screens\UserProfile\CreateWorkout.js", "JavaScript", 0, 409, 0, 26, 435
"c:\Users\jibby\Project\fitness-project\screens\UserProfile\Dashboard.js", "JavaScript", 0, 293, 0, 19, 312
"c:\Users\jibby\Project\fitness-project\screens\UserProfile\EditWorkout.js", "JavaScript", 0, 463, 0, 30, 493
"c:\Users\jibby\Project\fitness-project\screens\UserProfile\InProgressWorkout.js", "JavaScript", 0, 487, 1, 26, 514
"c:\Users\jibby\Project\fitness-project\screens\UserProfile\UserExercises.js", "JavaScript", 0, 376, 2, 21, 399
"c:\Users\jibby\Project\fitness-project\screens\UserProfile\UserScreen.js", "JavaScript", 0, 592, 9, 44, 645
"c:\Users\jibby\Project\fitness-project\screens\UserProfile\ViewExercises.js", "JavaScript", 0, 443, 0, 27, 470
"c:\Users\jibby\Project\fitness-project\screens\UserProfile\WeightTracker.js", "JavaScript", 0, 559, 0, 31, 590
"c:\Users\jibby\Project\fitness-project\screens\UserProfile\WorkoutHistory.js", "JavaScript", 0, 425, 1, 23, 449
"c:\Users\jibby\Project\fitness-project\screens\UserProfile\WorkoutList.js", "JavaScript", 0, 407, 0, 26, 433
"c:\Users\jibby\Project\fitness-project\screens\UserProfile\exerciseUtils.js", "JavaScript", 0, 22, 1, 6, 29
"c:\Users\jibby\Project\fitness-project\screens\UserProfile\weightTrackerUtils.js", "JavaScript", 0, 22, 0, 6, 28
"c:\Users\jibby\Project\fitness-project\screens\index.js", "JavaScript", 0, 2, 0, 1, 3
"Total", "-", 20384, 5652, 37, 379, 26452
